Päivä;Aika;LV01 TE10 LV-MENOVESI;LV01 TV01 LV-VENTTIILI;LV01 TE10 LV-MENOVESI;KL00 TE10 KL-TULO;KL00 TE30 KL-PALUU;
4.2.2022;7:49:02;54,43025;;;;;
4.2.2022;7:49:03;54,317276;;;;;
4.2.2022;7:49:05;54,317276;;;;;
4.2.2022;7:49:06;54,29299;;;;;
4.2.2022;7:49:08;54,29299;;;;;
4.2.2022;7:49:09;54,22132;;;;;
4.2.2022;7:49:11;54,22132;;;;;
4.2.2022;7:49:12;54,083195;;;;;
4.2.2022;7:49:13;54,083195;;;;;
4.2.2022;7:49:14;53,927204;;;;;
4.2.2022;7:49:17;53,927204;;;;;
4.2.2022;7:49:18;53,813232;;;;;
4.2.2022;7:49:20;53,813232;;;;;
4.2.2022;7:49:21;53,746384;;;;;
4.2.2022;7:49:23;53,746384;;;;;
4.2.2022;7:49:24;53,700783;;;;;
4.2.2022;7:49:25;53,700783;;;;;
4.2.2022;7:49:26;53,520653;;;;;
4.2.2022;7:49:28;53,520653;;;;;
4.2.2022;7:49:29;53,463356;;;;;
4.2.2022;7:49:31;53,463356;;;;;
4.2.2022;7:49:32;53,2357;;;;;
4.2.2022;7:49:34;53,2357;;;;;
4.2.2022;7:49:35;53,153034;;;;;
4.2.2022;7:49:37;53,153034;;;;;
4.2.2022;7:49:38;53,039154;;;;;
4.2.2022;7:49:40;53,039154;;;;;
4.2.2022;7:49:41;52,941685;;;;;
4.2.2022;7:49:43;52,941685;;;;;
4.2.2022;7:49:44;52,843475;;;;;
4.2.2022;7:49:46;52,843475;;;;;
4.2.2022;7:49:47;52,800156;;;;;
