Päivä;Aika;LUX00 ULKOVALOISUUS;
3.2.2022;8:00:00;9,855186;
3.2.2022;8:05:00;15,452303;
3.2.2022;8:10:00;22,971064;
3.2.2022;8:15:00;33,728031;
3.2.2022;8:20:00;49,525234;
3.2.2022;8:25:00;79,544044;
3.2.2022;8:30:00;115,935196;
3.2.2022;8:35:00;155,378082;
3.2.2022;8:40:00;206,951675;
3.2.2022;8:45:00;256,337067;
3.2.2022;8:50:00;312,655243;
3.2.2022;8:55:00;370,929077;
3.2.2022;9:00:00;423,103363;
3.2.2022;9:05:00;489,297424;
3.2.2022;9:10:00;538,661621;
3.2.2022;9:15:00;570,649231;
3.2.2022;9:20:00;593,295715;
3.2.2022;9:25:00;633,224792;
3.2.2022;9:30:00;688,826233;
3.2.2022;9:35:00;735,830444;
3.2.2022;9:40:00;776,909485;
3.2.2022;9:45:00;823,471252;
3.2.2022;9:50:00;890,448853;
3.2.2022;9:55:00;893,698425;
3.2.2022;10:00:00;893,695496;
3.2.2022;10:05:00;893,688477;
3.2.2022;10:10:00;893,701721;
3.2.2022;10:15:00;893,708496;
3.2.2022;10:20:00;893,714783;
3.2.2022;10:25:00;893,715637;
3.2.2022;10:30:00;893,722656;
3.2.2022;10:35:00;893,71405;
3.2.2022;10:40:00;893,71637;
3.2.2022;10:45:00;893,709656;
3.2.2022;10:50:00;893,706848;
3.2.2022;10:55:00;893,701904;
3.2.2022;11:00:00;893,690979;
3.2.2022;11:05:00;893,694031;
3.2.2022;11:10:00;893,69812;
3.2.2022;11:15:00;893,699463;
3.2.2022;11:20:00;893,699219;
3.2.2022;11:25:00;893,693604;
3.2.2022;11:30:00;893,6828;
3.2.2022;11:35:00;893,686584;
3.2.2022;11:40:00;893,69104;
3.2.2022;11:45:00;893,67749;
3.2.2022;11:50:00;893,69104;
3.2.2022;11:55:00;893,690796;
3.2.2022;12:00:00;893,687683;
3.2.2022;12:05:00;893,69342;
3.2.2022;12:10:00;893,6875;
3.2.2022;12:15:00;893,679443;
3.2.2022;12:20:00;893,674011;
3.2.2022;12:25:00;893,671204;
3.2.2022;12:30:00;893,663879;
3.2.2022;12:35:00;893,660767;
3.2.2022;12:40:00;893,654541;
3.2.2022;12:45:00;893,6427;
3.2.2022;12:50:00;893,642456;
3.2.2022;12:55:00;893,651062;
3.2.2022;13:00:00;893,66925;
3.2.2022;13:05:00;893,678528;
3.2.2022;13:10:00;893,668152;
3.2.2022;13:15:00;893,65686;
3.2.2022;13:20:00;893,658813;
3.2.2022;13:25:00;893,665466;
3.2.2022;13:30:00;893,665222;
3.2.2022;13:35:00;893,66748;
3.2.2022;13:40:00;893,672424;
3.2.2022;13:45:00;893,661133;
3.2.2022;13:50:00;893,65686;
3.2.2022;13:55:00;893,664673;
3.2.2022;14:00:00;893,666077;
3.2.2022;14:05:00;893,649109;
